country,admin1_name,admin2_name,SurveyId,n_slept_under_net,n_respondents,total_hh,total_n_itn,total_n_itn_used,prop_use,mean_age,prop_female,n_clusters
Tanzania,Mara,Serengeti DC,TZ2007DHS,47,206,0,0,0,0.22815534,21.29885057,0.547425867,2
Tanzania,Mara,Serengeti DC,TZ2010DHS,3877,5265,267,79,66,0.73637227,18.65512678,0.465617067,39
Tanzania,Mara,Serengeti DC,TZ2012DHS,187,284,0,0,0,0.658450704,16.39311971,0.510799574,2
Tanzania,Mara,Serengeti DC,TZ2015DHS,1682,3297,164,42,29,0.510160752,20.64974292,0.48124697,29
Tanzania,Mara,Serengeti DC,TZ2017DHS,267,397,0,0,0,0.672544081,21.04967884,0.52459432,3
Tanzania,Mara,Serengeti DC,TZ2022DHS,7838,10556,406,136,124,0.742516105,20.39113706,0.530264475,85
Tanzania,Mara,Tarime DC,TZ2007DHS,153,479,0,0,0,0.319415449,17.78107497,0.519215274,4
Tanzania,Mara,Tarime DC,TZ2010DHS,3853,5492,275,75,65,0.701565914,20.38981102,0.563853189,46
Tanzania,Mara,Tarime DC,TZ2012DHS,359,497,0,0,0,0.722334004,19.52216634,0.534144225,4
Tanzania,Mara,Tarime DC,TZ2015DHS,7519,11123,509,221,153,0.675986694,18.8820607,0.506472635,74
Tanzania,Mara,Tarime DC,TZ2017DHS,278,379,0,0,0,0.733509235,19.50068126,0.533817288,3
Tanzania,Mara,Tarime DC,TZ2022DHS,8623,12397,461,138,129,0.695571509,19.61816352,0.532663456,73
Tanzania,Mara,Tarime TC,TZ2012DHS,99,129,0,0,0,0.76744186,19.62015504,0.589147287,1
Tanzania,Mara,Tarime TC,TZ2015DHS,1740,2560,128,54,38,0.6796875,24.9765625,0.5078125,20
Tanzania,Mara,Tarime TC,TZ2017DHS,49,92,0,0,0,0.532608696,20.33695652,0.445652174,1
Tanzania,Mara,Tarime TC,TZ2022DHS,1632,2208,83,33,24,0.739130435,22.43478261,0.510869565,24
Tanzania,Mbeya,Busokelo DC,TZ2007DHS,7,54,0,0,0,0.12962963,29.05555556,0.574074074,1
Tanzania,Mbeya,Busokelo DC,TZ2010DHS,210,1449,69,8,5,0.144927536,29.44927536,0.579710145,21
Tanzania,Mbeya,Busokelo DC,TZ2015DHS,187,1224,65,7,5,0.152777778,30,0.555555556,17
Tanzania,Mbeya,Busokelo DC,TZ2022DHS,1820,3640,144,56,34,0.5,29.47432153,0.531763417,40
Tanzania,Mbeya,Chunya DC,TZ2007DHS,53,166,0,0,0,0.319277108,22.55003631,0.458097313,2
Tanzania,Mbeya,Chunya DC,TZ2010DHS,1685,3117,159,40,31,0.540583895,22.35476792,0.500315657,36
Tanzania,Mbeya,Chunya DC,TZ2012DHS,71,186,0,0,0,0.38172043,17.05376344,0.564516129,1
Tanzania,Mbeya,Chunya DC,TZ2015DHS,1042,3852,183,34,23,0.270508827,21.17971743,0.540931171,42
Tanzania,Mbeya,Chunya DC,TZ2017DHS,16,142,0,0,0,0.112676056,21.44366197,0.478873239,1
Tanzania,Mbeya,Chunya DC,TZ2022DHS,3204,3975,168,68,58,0.806037736,22.19754738,0.516610925,39
Tanzania,Mbeya,Kyela DC,TZ2007DHS,58,67,0,0,0,0.865671642,19.53731343,0.537313433,1
Tanzania,Mbeya,Kyela DC,TZ2010DHS,840,1911,91,21,20,0.43956044,19.93406593,0.615384615,21
Tanzania,Mbeya,Kyela DC,TZ2012DHS,123,141,0,0,0,0.872340426,22.84327156,0.569601128,2
Tanzania,Mbeya,Kyela DC,TZ2015DHS,1676,2661,127,44,37,0.629838407,23.26635701,0.466114768,34
Tanzania,Mbeya,Kyela DC,TZ2017DHS,70,87,0,0,0,0.804597701,29.82758621,0.471264368,1
Tanzania,Mbeya,Kyela DC,TZ2022DHS,5044,5629,224,129,103,0.896073903,25.26234123,0.506871003,65
Tanzania,Mbeya,Mbarali DC,TZ2007DHS,57,206,0,0,0,0.276699029,21.69625506,0.542206478,2
Tanzania,Mbeya,Mbarali DC,TZ2010DHS,816,3888,200,37,9,0.209876543,18.11111111,0.530864198,16
Tanzania,Mbeya,Mbarali DC,TZ2012DHS,131,144,0,0,0,0.909722222,21.99535604,0.49496904,2
Tanzania,Mbeya,Mbarali DC,TZ2015DHS,380,1558,76,48,13,0.243902439,27.06097561,0.5,19
Tanzania,Mbeya,Mbarali DC,TZ2017DHS,70,158,0,0,0,0.443037975,25.56565657,0.469296136,2
Tanzania,Mbeya,Mbarali DC,TZ2022DHS,5648,8250,333,105,92,0.684606061,21.37675239,0.488960724,75
Tanzania,Mbeya,Mbeya DC,TZ2007DHS,66,158,0,0,0,0.417721519,18.29346567,0.510339123,2
Tanzania,Mbeya,Mbeya DC,TZ2010DHS,836,3788,179,36,21,0.220696938,24.15323565,0.507112332,42
Tanzania,Mbeya,Mbeya DC,TZ2012DHS,150,310,0,0,0,0.483870968,21.61452511,0.546118331,4
Tanzania,Mbeya,Mbeya DC,TZ2015DHS,307,3404,167,24,11,0.090188014,25.60569498,0.541521879,37
Tanzania,Mbeya,Mbeya DC,TZ2017DHS,51,245,0,0,0,0.208163265,25.40635117,0.528794326,3
Tanzania,Mbeya,Mbeya DC,TZ2022DHS,4757,9093,354,139,94,0.523149676,23.65535084,0.497055399,93
Tanzania,Mbeya,Mbeya MC,TZ2007DHS,21,148,0,0,0,0.141891892,20.71296804,0.452694064,2
Tanzania,Mbeya,Mbeya MC,TZ2010DHS,1464,3741,189,25,18,0.391339214,21.83078829,0.495760179,39
Tanzania,Mbeya,Mbeya MC,TZ2012DHS,213,270,0,0,0,0.788888889,22.82257369,0.533578069,3
Tanzania,Mbeya,Mbeya MC,TZ2015DHS,1727,4271,213,56,34,0.404354952,27.39844825,0.557362696,55
Tanzania,Mbeya,Mbeya MC,TZ2017DHS,86,181,0,0,0,0.475138122,23.25454881,0.562822719,2
Tanzania,Mbeya,Mbeya MC,TZ2022DHS,6859,11092,452,147,126,0.618373603,26.46341177,0.541419383,112
Tanzania,Mbeya,Rungwe DC,TZ2007DHS,8,115,0,0,0,0.069565217,26.19703907,0.509004884,2
Tanzania,Mbeya,Rungwe DC,TZ2010DHS,1436,3576,170,36,28,0.401565996,24.3564728,0.534767824,41
Tanzania,Mbeya,Rungwe DC,TZ2012DHS,34,74,0,0,0,0.459459459,26.5,0.459459459,1
Tanzania,Mbeya,Rungwe DC,TZ2015DHS,592,1552,78,26,14,0.381443299,21.67010309,0.505154639,16
Tanzania,Mbeya,Rungwe DC,TZ2017DHS,25,114,0,0,0,0.219298246,25.43859649,0.473684211,1
Tanzania,Mbeya,Rungwe DC,TZ2022DHS,1170,1692,67,27,22,0.691489362,24.35106383,0.5,18
Tanzania,Mjini Magharibi,Magharibi A,TZ2007DHS,222,300,0,0,0,0.74,20.30357451,0.555030364,3
Tanzania,Mjini Magharibi,Magharibi A,TZ2010DHS,7714,12587,604,160,142,0.612854532,21.3234417,0.506796832,92
Tanzania,Mjini Magharibi,Magharibi A,TZ2012DHS,241,409,0,0,0,0.589242054,21.6237022,0.519714188,4
Tanzania,Mjini Magharibi,Magharibi A,TZ2015DHS,5337,11253,513,134,94,0.474273527,23.36432321,0.511455802,85
Tanzania,Mjini Magharibi,Magharibi A,TZ2017DHS,338,667,0,0,0,0.506746627,23.05414508,0.536333522,5
Tanzania,Mjini Magharibi,Magharibi A,TZ2022DHS,16115,25846,1021,374,319,0.623500735,22.71649545,0.509213591,173
Tanzania,Mjini Magharibi,Magharibi B,TZ2007DHS,165,348,0,0,0,0.474137931,22.31506455,0.47770994,4
