province,rural,wealth_quintile,raw_weight_hh,true_cluster,fpc,fpc2,program,itns_in_hh,llins_in_hh,num_of_sleeping_spaces,any_net,treated,more_than_one_net,more_than_one_itn,more_than_one_llin,num_nets,ratio_nets_to_spaces,ratio_greater_than_1,at_least_one_itn,at_least_one_llin,at_least_one_ever_treated,itn_and_irs,itn_or_irs,per_hh_with_irs_in_ea,cat_per_hh_with_irs_in_ea
Central,Rural,2,612.7114868,7,0.008504924,0.175999999,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3
Central,Rural,2,470.0323181,2,0.008504924,0.220338985,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,44.44444444,3
Eastern,Rural,3,336.3952026,60,0.010673986,0.220183492,Group 3: Pre-elimination (phase 3),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,20,2
Eastern,Rural,2,395.324707,68,0.010673986,0.242718443,Group 1: Pre-elimination (phase 1),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,78.26086957,4
Eastern,Rural,5,490.130249,41,0.010673986,0.118811883,Group 1: Pre-elimination (phase 1),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,72.72727273,4
Muchinga,Rural,2,387.4343872,121,0.008843537,0.173611104,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,11.53846154,1
Lusaka,Urban,4,1292.921265,104,0.004336827,0.157232702,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,16,1
Muchinga,Rural,3,398.4147644,115,0.008843537,0.162162155,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,16.66666667,1
Central,Urban,5,1177.460938,21,0.003372681,0.221052632,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,19.04761905,1
Lusaka,Rural,3,484.2188721,98,0.010804322,0.234693885,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,0,1
Eastern,Rural,2,441.381958,57,0.010673986,0.217391297,Group 3: Pre-elimination (phase 3),3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,84,5
Eastern,Rural,2,868.9041138,65,0.010673986,0.134969324,Group 2: Pre-elimination (phase 2),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,72.72727273,4
Central,Rural,2,559.4170532,12,0.008504924,0.150793657,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21.05263158,2
Lusaka,Urban,5,3014.49292,107,0.004336827,0.093333334,Contorl,3,3,4,1,3,1,1,1,3,0.75,0,1,1,1,0,1,4.761904762,1
Muchinga,Rural,1,454.8388367,113,0.008843537,0.568181813,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,88,5
Eastern,Rural,4,490.130249,41,0.010673986,0.118811883,Group 1: Pre-elimination (phase 1),1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,1,1,72.72727273,4
Copperbelt,Urban,5,316.8677979,40,0.004253509,0.694444418,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,8,1
Luapula,Rural,1,654.0604248,78,0.01005291,0.198347107,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,2
Muchinga,Rural,1,227.7526245,117,0.008843537,0.406779647,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,41.66666667,3
Copperbelt,Urban,5,859.3067627,35,0.004253509,0.205128208,Contorl,1,0,3,1,1,0,0,0,1,0.333333333,0,1,0,1,0,1,54.16666667,3
Copperbelt,Urban,5,1394.449951,33,0.004253509,0.14371258,Contorl,2,0,2,1,2,1,1,0,2,1,1,1,0,1,0,1,50,3
Copperbelt,Rural,4,472.447876,29,0.009740259,0.173913047,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,64,4
Eastern,Rural,2,461.8257446,53,0.010673986,0.186567158,Group 3: Pre-elimination (phase 3),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40,3
Copperbelt,Rural,2,776.8686523,27,0.009740259,0.322580636,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,56,3
Eastern,Rural,3,619.6938477,55,0.010673986,0.154838711,Group 3: Pre-elimination (phase 3),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52,3
Southern,Rural,4,472.7120056,166,0.008669267,0.063583814,Contorl,3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,1,1,73.91304348,4
Copperbelt,Rural,4,476.67099,22,0.009740259,0.191176474,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38461538,1
Western,Rural,1,454.232605,185,0.009014085,0.155844152,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,44,3
Copperbelt,Rural,3,476.67099,22,0.009740259,0.191176474,Contorl,1,0,2,1,1,0,0,0,1,0.5,0,1,0,1,0,1,15.38461538,1
Central,Rural,4,205.3968658,15,0.008504924,0.585365832,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,11.53846154,1
Northern,Rural,3,910.2848511,134,0.008608972,0.141843975,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,66.66666667,4
Southern,Rural,5,882.3082886,171,0.008669267,0.078125,Contorl,5,5,3,1,5,1,1,1,5,1.666666667,1,1,1,1,0,1,38.0952381,2
Southern,Rural,2,863.7886963,170,0.008669267,0.209999993,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Western,Rural,1,439.3160706,186,0.009014085,0.203539819,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1
North-Western,Rural,2,441.6700439,150,0.011178861,0.210526317,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666667,1
Lusaka,Rural,2,320.7049866,97,0.010804322,0.540540516,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,75,4
Copperbelt,Urban,5,1197.647339,38,0.004253509,0.25555557,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41.66666667,3
North-Western,Rural,2,441.6700439,150,0.011178861,0.210526317,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,4.166666667,1
Central,Rural,4,470.0323181,2,0.008504924,0.220338985,Contorl,2,1,2,1,2,1,1,0,2,1,1,1,1,1,0,1,44.44444444,3
Lusaka,Urban,3,1292.921265,104,0.004336827,0.157232702,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,16,1
Southern,Rural,4,807.7772827,161,0.008669267,0.200000003,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,24,2
Western,Rural,5,390.545929,184,0.009014085,0.258426964,Contorl,7,0,8,1,7,1,1,0,7,0.875,0,1,0,1,0,1,30.43478261,2
Luapula,Rural,3,496.3392334,82,0.01005291,0.135714293,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,89.47368421,5
Northern,Rural,3,561.5792236,143,0.008608972,0.101063833,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,78.94736842,4
Central,Rural,2,612.7114868,7,0.008504924,0.175999999,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3
Copperbelt,Urban,5,859.3067627,35,0.004253509,0.205128208,Contorl,2,2,4,1,2,1,1,1,2,0.5,0,1,1,1,1,1,54.16666667,3
Copperbelt,Rural,5,472.447876,29,0.009740259,0.173913047,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,64,4
North-Western,Rural,3,533.244873,154,0.011178861,0.15436241,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,47.82608696,3
Central,Rural,1,560.3684082,3,0.008504924,0.156862751,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21.73913043,2
Copperbelt,Rural,4,146.2341003,26,0.009740259,0.806451619,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,76,4
Central,Rural,4,574.0814209,11,0.008504924,0.298701286,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,30.43478261,2
Eastern,Rural,2,387.9973755,66,0.010673986,0.179856122,Group 1: Pre-elimination (phase 1),2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,84,5
Southern,Rural,5,548.4053345,167,0.008669267,0.146153852,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,47.61904762,3
Central,Rural,3,470.0323181,2,0.008504924,0.220338985,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,44.44444444,3
Western,Rural,2,455.3486633,191,0.009014085,0.201680675,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3
Lusaka,Urban,5,1356.745117,106,0.004336827,0.115207374,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
Muchinga,Rural,2,398.4147644,115,0.008843537,0.162162155,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,0,1,16.66666667,1
North-Western,Rural,3,560.2043457,151,0.011178861,0.148148149,Contorl,1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,1,1,40,3
Luapula,Rural,1,765.9437256,71,0.01005291,0.100877196,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75,4
Eastern,Rural,1,441.381958,57,0.010673986,0.217391297,Group 3: Pre-elimination (phase 3),1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,84,5
Eastern,Rural,2,387.9973755,66,0.010673986,0.179856122,Group 1: Pre-elimination (phase 1),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,84,5
Central,Rural,3,909.2398071,13,0.008504924,0.091304347,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,14.28571429,1
Western,Rural,5,784.9139404,192,0.009014085,0.162337661,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,0,1
Lusaka,Rural,1,320.7049866,97,0.010804322,0.540540516,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,75,4
Lusaka,Urban,5,1292.921265,104,0.004336827,0.157232702,Contorl,1,0,4,1,1,0,0,0,1,0.25,0,1,0,1,1,1,16,1
Eastern,Rural,3,490.130249,41,0.010673986,0.118811883,Group 1: Pre-elimination (phase 1),3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,72.72727273,4
Muchinga,Rural,1,375.7364807,123,0.008843537,0.284090906,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,0,1
Northern,Rural,1,1977.984253,127,0.008608972,0.111111112,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,0,1
Eastern,Rural,2,681.663269,197,0.010673986,0.193548381,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,83.33333333,5
Central,Rural,5,636.7084961,6,0.008504924,0.178571433,Contorl,2,0,3,1,2,1,1,0,2,0.666666667,0,1,0,1,0,1,15,1
Eastern,Rural,4,291.3121033,43,0.010673986,0.289855063,Group 2: Pre-elimination (phase 2),2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,30,2
Luapula,Rural,3,240.084259,80,0.01005291,0.115577891,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,29.16666667,2
Copperbelt,Urban,5,330.0705872,40,0.004253509,0.694444418,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,1
Southern,Rural,4,202.9665222,163,0.008669267,0.132231399,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,52.94117647,3
Copperbelt,Urban,5,1197.647339,38,0.004253509,0.25555557,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,41.66666667,3
Southern,Rural,5,484.6664124,165,0.008669267,0.190476194,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,34.7826087,2
Luapula,Rural,3,642.6174927,76,0.01005291,0.157232702,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,80.55555556,5
Lusaka,Urban,4,1624.172241,110,0.004336827,0.196850389,Contorl,1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,0,1,20,2
Central,Urban,5,2280.060059,20,0.003372681,0.185185179,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,28,2
North-Western,Rural,2,158.5607605,148,0.011178861,0.333333343,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83333333,2
Eastern,Rural,3,427.0566711,42,0.010673986,0.278481007,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68.18181818,4
Northern,Rural,1,1004.013367,139,0.008608972,0.06051873,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,19.04761905,1
Copperbelt,Urban,5,2386.630371,36,0.004253509,0.078369908,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,52,3
Lusaka,Urban,5,1902.555176,105,0.004336827,0.085185185,Contorl,1,1,4,1,1,0,0,0,1,0.25,0,1,1,1,0,1,0,1
Southern,Rural,2,906.1154785,158,0.008669267,0.089147285,Contorl,1,1,6,1,1,0,0,0,1,0.166666667,0,1,1,1,0,1,26.08695652,2
Western,Rural,1,153.4167023,194,0.009014085,0.51111114,Contorl,1,0,2,1,1,0,0,0,1,0.5,0,1,0,1,1,1,82.60869565,5
Muchinga,Rural,2,387.4343872,121,0.008843537,0.173611104,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,11.53846154,1
Southern,Rural,1,1015.069885,173,0.008669267,0.139534891,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
Central,Rural,2,559.4170532,12,0.008504924,0.150793657,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21.05263158,2
Luapula,Rural,4,538.1774902,81,0.01005291,0.182481751,Contorl,1,1,4,1,1,0,0,0,1,0.25,0,1,1,1,0,1,44,3
Southern,Rural,1,590.8314209,169,0.008669267,0.233333334,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,0,1
Luapula,Rural,5,476.3570557,88,0.01005291,0.202380955,Contorl,2,1,2,1,2,1,1,0,2,1,1,1,1,1,0,1,68.18181818,4
Copperbelt,Rural,5,472.447876,29,0.009740259,0.173913047,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,64,4
Western,Rural,3,153.4167023,194,0.009014085,0.51111114,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,82.60869565,5
Southern,Rural,5,548.4053345,167,0.008669267,0.146153852,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47.61904762,3
Southern,Rural,5,882.3082886,171,0.008669267,0.078125,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,38.0952381,2
Copperbelt,Urban,5,1197.647339,38,0.004253509,0.25555557,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,41.66666667,3
Luapula,Rural,3,412.4599609,72,0.01005291,0.184615389,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,45.83333333,3
Western,Rural,2,608.4604492,189,0.009014085,0.129870132,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,10,1
Southern,Rural,2,849.9223022,163,0.008669267,0.132231399,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52.94117647,3
North-Western,Rural,2,377.5714111,147,0.011178861,0.274193555,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,83.33333333,5
Eastern,Rural,3,541.4136963,69,0.010673986,0.157534242,Group 3: Pre-elimination (phase 3),1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,69.23076923,4
Central,Urban,1,2280.060059,20,0.003372681,0.185185179,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2
Western,Rural,4,441.7264709,190,0.009014085,0.274725288,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,48,3
Western,Rural,4,784.9139404,192,0.009014085,0.162337661,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,0,1
Copperbelt,Urban,5,1394.449951,33,0.004253509,0.14371258,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,50,3
North-Western,Rural,4,392.0827942,153,0.011178861,0.108527131,Contorl,4,4,2,1,4,1,1,1,4,2,1,1,1,1,1,1,44.44444444,3
Muchinga,Urban,5,242.2261658,125,0.005319149,0.269662917,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,1,1,45.83333333,3
Eastern,Rural,2,177.9990234,59,0.010673986,0.479166657,Group 3: Pre-elimination (phase 3),3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,0,1,69.56521739,4
Western,Rural,3,481.2757568,183,0.009014085,0.347222209,Contorl,4,4,3,1,4,1,1,1,4,1.333333333,1,1,1,1,0,1,36,2
Muchinga,Rural,2,482.4048157,118,0.008843537,0.271428585,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
North-Western,Rural,3,167.2251892,151,0.011178861,0.148148149,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,40,3
Muchinga,Rural,1,227.0856781,122,0.008843537,0.226415098,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,45.83333333,3
Eastern,Rural,2,661.9102783,201,0.010673986,0.216216221,Group 2: Pre-elimination (phase 2),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,87.5,5
Western,Rural,3,402.0045471,188,0.009014085,0.357142866,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,20,2
Eastern,Rural,4,416.0484619,64,0.010673986,0.161073819,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,66.66666667,4
Southern,Rural,5,155.5179291,167,0.008669267,0.146153852,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,47.61904762,3
Luapula,Rural,1,376.8461914,79,0.01005291,0.240384609,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,56,3
Western,Rural,2,439.3160706,186,0.009014085,0.203539819,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,0,1
Southern,Rural,2,635.0724487,159,0.008669267,0.258426964,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1
Western,Rural,4,481.2757568,183,0.009014085,0.347222209,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,36,2
Copperbelt,Rural,1,443.9248962,30,0.009740259,0.115207374,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,4
Northern,Rural,4,366.293396,138,0.008608972,0.300000012,Contorl,4,4,4,1,4,1,1,1,4,1,1,1,1,1,0,1,14.28571429,1
Eastern,Rural,4,733.7052612,63,0.010673986,0.118644066,Group 2: Pre-elimination (phase 2),0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,80.95238095,5
Central,Rural,4,574.0814209,11,0.008504924,0.298701286,Contorl,5,5,4,1,5,1,1,1,6,1.25,1,1,1,1,1,1,30.43478261,2
Eastern,Rural,2,177.9990234,59,0.010673986,0.479166657,Group 3: Pre-elimination (phase 3),2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,69.56521739,4
Central,Rural,4,1185.927734,1,0.008504924,0.101382487,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,0,1,2.857142857,1
Eastern,Rural,2,660.1539307,52,0.010673986,0.145348832,Group 3: Pre-elimination (phase 3),1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,1,1,72,4
Southern,Rural,5,2668.378662,168,0.008669267,0.030037547,Contorl,2,2,4,1,2,1,1,1,2,0.5,0,1,1,1,1,1,29.16666667,2
North-Western,Urban,4,2388.099854,157,0.005050505,0.131736532,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,60,4
Eastern,Rural,3,603.1306763,198,0.010673986,0.152173907,Group 2: Pre-elimination (phase 2),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,90.47619048,5
Central,Rural,4,612.7114868,7,0.008504924,0.175999999,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,1,1,50,3
Southern,Rural,4,2668.378662,168,0.008669267,0.030037547,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16666667,2
Luapula,Rural,3,698.4972534,76,0.01005291,0.157232702,Contorl,2,0,2,1,2,1,1,0,2,1,1,1,0,1,1,1,80.55555556,5
Central,Urban,5,2280.060059,20,0.003372681,0.185185179,Contorl,3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,0,1,28,2
Luapula,Rural,3,496.3392334,82,0.01005291,0.135714293,Contorl,4,4,4,1,4,1,1,1,4,1,1,1,1,1,1,1,89.47368421,5
Copperbelt,Rural,2,146.2341003,26,0.009740259,0.806451619,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,76,4
Eastern,Rural,1,661.9102783,201,0.010673986,0.216216221,Group 2: Pre-elimination (phase 2),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,87.5,5
Copperbelt,Urban,5,1394.449951,33,0.004253509,0.14371258,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,0,1,50,3
Copperbelt,Rural,5,443.9248962,30,0.009740259,0.115207374,Contorl,1,0,3,1,1,0,0,0,1,0.333333333,0,1,0,1,1,1,60,4
Lusaka,Rural,5,785.8235474,94,0.010804322,0.178294569,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8.695652174,1
Southern,Rural,3,849.9223022,163,0.008669267,0.132231399,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,52.94117647,3
Western,Rural,2,434.698822,187,0.009014085,0.349999994,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,0,1
Western,Rural,3,455.3486633,191,0.009014085,0.201680675,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,50,3
Western,Rural,3,784.9139404,192,0.009014085,0.162337661,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Copperbelt,Rural,3,472.447876,29,0.009740259,0.173913047,Contorl,2,1,2,1,2,1,1,0,2,1,1,1,1,1,1,1,64,4
Eastern,Rural,3,490.130249,41,0.010673986,0.118811883,Group 1: Pre-elimination (phase 1),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,72.72727273,4
Muchinga,Rural,2,341.5785828,120,0.008843537,0.205357149,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,22.72727273,2
Southern,Rural,2,590.8314209,169,0.008669267,0.233333334,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1
Copperbelt,Rural,4,443.9248962,30,0.009740259,0.115207374,Contorl,1,0,2,1,1,0,0,0,1,0.5,0,1,0,1,1,1,60,4
Eastern,Rural,4,661.9102783,201,0.010673986,0.216216221,Group 2: Pre-elimination (phase 2),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,5
Eastern,Rural,2,868.9041138,65,0.010673986,0.134969324,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,72.72727273,4
Eastern,Rural,4,490.130249,41,0.010673986,0.118811883,Group 1: Pre-elimination (phase 1),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72.72727273,4
Eastern,Rural,2,610.8093872,45,0.010673986,0.143999994,Group 2: Pre-elimination (phase 2),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,77.77777778,4
Luapula,Rural,5,473.644928,87,0.01005291,0.203539819,Contorl,1,1,3,1,1,0,0,0,1,0.333333333,0,1,1,1,1,1,43.47826087,3
Central,Rural,2,537.9537354,8,0.008504924,0.347222209,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,36,2
Northern,Rural,1,644.4005127,137,0.008608972,0.124260359,Contorl,3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,1,1,66.66666667,4
Central,Rural,2,661.0271606,19,0.008504924,0.219780222,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,65,4
Eastern,Rural,2,541.4136963,69,0.010673986,0.157534242,Group 3: Pre-elimination (phase 3),0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,69.23076923,4
Southern,Rural,4,676.9153442,160,0.008669267,0.186274514,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,0,1
Northern,Rural,4,693.4748535,130,0.008608972,0.219047621,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66666667,1
Lusaka,Urban,5,1884.916626,108,0.004336827,0.117346942,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8.695652174,1
Luapula,Rural,4,607.4981079,77,0.01005291,0.190082639,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,0,1
Central,Rural,2,612.7114868,7,0.008504924,0.175999999,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,50,3
Western,Rural,1,487.8677063,182,0.009014085,0.161971837,Contorl,3,2,2,1,3,1,1,1,3,1.5,1,1,1,1,0,1,26.08695652,2
Muchinga,Rural,2,375.7364807,123,0.008843537,0.284090906,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,0,1
Luapula,Rural,2,654.0604248,78,0.01005291,0.198347107,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,33.33333333,2
Eastern,Rural,2,606.6642456,67,0.010673986,0.098712444,Group 1: Pre-elimination (phase 1),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47.82608696,3
Eastern,Rural,4,346.9143982,62,0.010673986,0.223300964,Group 2: Pre-elimination (phase 2),0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,52.17391304,3
Western,Rural,2,487.8677063,182,0.009014085,0.161971837,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,26.08695652,2
Muchinga,Rural,1,398.4147644,115,0.008843537,0.162162155,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,16.66666667,1
Muchinga,Rural,2,340.9855652,119,0.008843537,0.282352954,Contorl,2,2,1,1,2,1,1,1,2,2,1,1,1,1,0,1,37.5,2
Western,Urban,1,813.239624,196,0.004672897,0.324675322,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,50,3
Eastern,Rural,2,556.348999,49,0.010673986,0.139240503,Group 1: Pre-elimination (phase 1),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3
Eastern,Rural,3,291.3121033,43,0.010673986,0.289855063,Group 2: Pre-elimination (phase 2),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2
Lusaka,Urban,5,1193.286987,102,0.004336827,0.149606302,Contorl,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Luapula,Rural,3,473.644928,87,0.01005291,0.203539819,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,43.47826087,3
Luapula,Rural,2,581.9207153,86,0.01005291,0.127167627,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,90.90909091,5
Central,Rural,3,1185.927734,1,0.008504924,0.101382487,Contorl,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,2.857142857,1
