province,rural,wealth_quintile,raw_weight_hh,true_cluster,fpc,fpc2,program,itns_in_hh,llins_in_hh,num_of_sleeping_spaces,any_net,treated,more_than_one_net,more_than_one_itn,more_than_one_llin,num_nets,ratio_nets_to_spaces,ratio_greater_than_1,at_least_one_itn,at_least_one_llin,at_least_one_ever_treated,itn_and_irs,itn_or_irs,per_hh_with_irs_in_ea,cat_per_hh_with_irs_in_ea
Eastern,Rural,1,441.381958,57,0.010673986,0.217391297,Group 3: Pre-elimination (phase 3),0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,84,5
Central,Urban,2,2280.060059,20,0.003372681,0.185185179,Contorl,2,2,3,1,2,1,1,1,2,0.666666667,0,1,1,1,0,1,28,2
Lusaka,Rural,3,146.1127014,91,0.010804322,0.333333343,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
North-Western,Urban,4,2388.099854,157,0.005050505,0.131736532,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,60,4
Copperbelt,Urban,5,995.0276489,31,0.004253509,0.139240503,Contorl,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,56.52173913,3
Western,Rural,2,417.3861084,195,0.009014085,0.237113401,Contorl,1,0,2,1,1,0,0,0,1,0.5,0,1,0,1,1,1,34.7826087,2
Copperbelt,Urban,5,326.7254944,31,0.004253509,0.139240503,Contorl,2,0,2,1,2,1,1,0,2,1,1,1,0,1,1,1,56.52173913,3
Southern,Rural,3,882.3082886,171,0.008669267,0.078125,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,38.0952381,2
Muchinga,Rural,1,235.6892395,112,0.008843537,0.490196079,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,84,5
Central,Urban,5,2280.060059,20,0.003372681,0.185185179,Contorl,4,4,3,1,4,1,1,1,4,1.333333333,1,1,1,1,1,1,28,2
Lusaka,Urban,5,1603.284668,101,0.004336827,0.103960395,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22.72727273,2
Lusaka,Urban,5,2968.234619,111,0.004336827,0.0995671,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,13.04347826,1
North-Western,Rural,1,458.3145752,146,0.011178861,0.200000003,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,65.2173913,4
Southern,Urban,5,1069.150513,178,0.003696858,0.246376812,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,22.72727273,2
Eastern,Rural,5,461.8257446,53,0.010673986,0.186567158,Group 3: Pre-elimination (phase 3),3,3,2,1,3,1,1,1,3,1.5,1,1,1,1,0,1,40,3
Western,Rural,4,481.2757568,183,0.009014085,0.347222209,Contorl,3,3,3,1,3,1,1,1,3,1,1,1,1,1,0,1,36,2
Muchinga,Rural,1,375.7364807,123,0.008843537,0.284090906,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1
Central,Rural,4,574.0814209,11,0.008504924,0.298701286,Contorl,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,30.43478261,2
Central,Rural,4,508.188385,9,0.008504924,0.316666663,Contorl,1,1,2,1,1,0,0,0,1,0.5,0,1,1,1,0,1,36.84210526,2
North-Western,Rural,4,392.0827942,153,0.011178861,0.108527131,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,44.44444444,3
Copperbelt,Urban,5,1197.647339,38,0.004253509,0.25555557,Contorl,3,0,3,1,3,1,1,0,3,1,1,1,0,1,0,1,41.66666667,3
Eastern,Rural,1,346.9143982,62,0.010673986,0.223300964,Group 2: Pre-elimination (phase 2),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,52.17391304,3
Northern,Rural,2,366.293396,138,0.008608972,0.300000012,Contorl,4,4,2,1,4,1,1,1,4,2,1,1,1,1,0,1,14.28571429,1
Southern,Rural,3,676.9153442,160,0.008669267,0.186274514,Contorl,3,3,1,1,3,1,1,1,3,3,1,1,1,1,0,1,0,1
Eastern,Rural,3,427.0566711,42,0.010673986,0.278481007,Group 2: Pre-elimination (phase 2),0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,68.18181818,4
Lusaka,Rural,5,785.8235474,94,0.010804322,0.178294569,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.695652174,1
North-Western,Rural,3,377.5714111,147,0.011178861,0.274193555,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,83.33333333,5
Muchinga,Rural,1,555.9848633,116,0.008843537,0.135869563,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,76,4
Copperbelt,Urban,5,2386.630371,36,0.004253509,0.078369908,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,52,3
Copperbelt,Urban,5,859.3067627,35,0.004253509,0.205128208,Contorl,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,54.16666667,3
Northern,Rural,3,169.5883789,132,0.008608972,0.181818187,Contorl,2,2,2,1,2,1,1,1,2,1,1,1,1,1,0,1,4.347826087,1
Southern,Rural,4,2668.378662,168,0.008669267,0.030037547,Contorl,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16666667,2
Western,Rural,1,153.4167023,194,0.009014085,0.51111114,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,82.60869565,5
Northern,Rural,2,1004.013367,139,0.008608972,0.06051873,Contorl,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19.04761905,1
Eastern,Rural,4,754.2520752,54,0.010673986,0.12578617,Group 3: Pre-elimination (phase 3),2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,95.45454545,5
Eastern,Rural,2,481.271698,58,0.010673986,0.165517241,Group 3: Pre-elimination (phase 3),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,72,4
Eastern,Rural,1,294.5521545,46,0.010673986,0.333333343,Group 2: Pre-elimination (phase 2),1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,58.33333333,3
Copperbelt,Urban,5,995.0276489,31,0.004253509,0.139240503,Contorl,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,56.52173913,3
Central,Rural,4,479.9390564,4,0.008504924,0.160256416,Contorl,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
